qseqid,sample,pair_status,abundance,f_targets,r_targets
M03520:605:000000000-LVNKY:1:1103:14425:5713,as3-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.B9EF730EBE6C436Z0Z; RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1108:16297:26611,as20-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2102:17978:12947,as10-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2109:13532:14757,as25-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2114:26330:12598,as10-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1107:22865:6401,as20-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:1110:20293:6074,as15-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1102:12002:22815,as25-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2106:8929:22688,sd25-2,chimera,3,RH.27578A9A85FA4A3Z0Z,RH.A0CAD38B29E24F8Z0Z
M03520:605:000000000-LVNKY:1:1110:19800:11436,as20-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2109:24477:10373,as3-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1114:28048:19972,sd7-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1106:12496:14876,as3-1,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2108:2724:18450,as7-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
