M03520:605:000000000-LVNKY:1:2109:18797:11051;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	96.552	116	4	1.14e-51	193	151
M03520:605:000000000-LVNKY:1:2109:18797:11051;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	100.000	66	0	1.52e-30	122	151
M03520:605:000000000-LVNKY:1:2109:18797:11051;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	94.805	77	4	5.46e-30	121	151
M03520:605:000000000-LVNKY:1:1106:7029:9621;size=1	A00405_539_HLLNCDSX3_4_2428_25979_27508_1_293_+_ea053f94656145d4f38e54ebc41708ef	99.206	126	1	3.13e-62	228	151
M03520:605:000000000-LVNKY:1:2110:6721:8921;size=1	A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484	99.130	115	1	4.08e-56	207	151
M03520:605:000000000-LVNKY:1:1101:20683:21684;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	99.138	116	1	1.13e-56	209	151
M03520:605:000000000-LVNKY:1:1101:20683:21684;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	92.208	77	6	1.18e-26	110	151
M03520:605:000000000-LVNKY:1:1101:20683:21684;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	95.455	66	3	1.53e-25	106	151
M03520:605:000000000-LVNKY:1:2112:6007:5759;size=1	A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7	98.658	149	2	2.39e-73	265	151
M03520:605:000000000-LVNKY:1:1101:7734:11629;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	99.138	116	1	1.13e-56	209	151
M03520:605:000000000-LVNKY:1:1101:7734:11629;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	92.208	77	6	1.18e-26	110	151
M03520:605:000000000-LVNKY:1:1101:7734:11629;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	93.939	66	4	7.12e-24	100	151
M03520:605:000000000-LVNKY:1:1113:22801:20340;size=1	A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6	98.675	151	2	1.84e-74	268	151
M03520:605:000000000-LVNKY:1:1105:18887:18985;size=1	A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6	93.377	151	10	4.05e-61	224	151
M03520:605:000000000-LVNKY:1:2106:14822:25043;size=1	A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f	98.649	148	2	8.58e-73	263	151
M03520:605:000000000-LVNKY:1:2102:14356:3531;size=1	A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f	98.649	148	1	3.09e-72	261	151
M03520:605:000000000-LVNKY:1:1106:21042:24006;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	98.276	116	2	5.27e-55	204	151
M03520:605:000000000-LVNKY:1:1106:21042:24006;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	95.455	66	3	1.53e-25	106	151
M03520:605:000000000-LVNKY:1:2106:13728:17075;size=1	A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c	100.000	105	0	3.17e-52	195	151
M03520:605:000000000-LVNKY:1:2101:12346:26791;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	94.828	116	6	2.47e-48	182	151
M03520:605:000000000-LVNKY:1:2101:12346:26791;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	93.506	77	5	2.54e-28	115	151
M03520:605:000000000-LVNKY:1:2101:12346:26791;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	96.970	66	2	3.29e-27	111	151
